Altium Designer Pick and Place Locations
C12        11.2000      79.4000      90       100nF                        C0805                         
C11        20.8000      68.7000      180      100nF                        C0805                         
C9         11.2000      97.4000      90       100nF                        C0805                         
X9         72.8000      97.9000      90       B2B-XH-A(LF)(SN)             CON_2p_JST-B2B-XH-A_V         
X8         72.8000      87.7500      90       B2B-XH-A(LF)(SN)             CON_2p_JST-B2B-XH-A_V         
X7         72.8000      77.5000      90       B2B-XH-A(LF)(SN)             CON_2p_JST-B2B-XH-A_V         
X6         72.8000      67.3500      90       B2B-XH-A(LF)(SN)             CON_2p_JST-B2B-XH-A_V         
X5         37.9500      115.9000     180      B6BXHA(LF)(SN)               B6BXHA(LF)(SN)                
X4         18.0500      115.9000     180      B6BXHA(LF)(SN)               B6BXHA(LF)(SN)                
X3         61.9000      7.6000       90       B2P-VH-B                     CON-B2P-VH-B-3.96MM_nn        
T1         56.4000      56.3000      270      BC846ALT1G                   ONSC-SOT-23-3-318-08_V        
R13        59.8000      99.3000      270      47k                          R0805                         
R12        59.8371      89.1667      270      47k                          R0805                         
R11        57.8000      99.3000      270      100R                         R0805                         
R10        57.8371      89.1667      270      100R                         R0805                         
R9         59.8000      78.9250      270      47k                          R0805                         
R8         59.8000      68.8000      270      47k                          R0805                         
R7         57.8000      78.9250      270      100R                         R0805                         
R6         57.8000      68.8000      270      100R                         R0805                         
R5         57.4000      59.9000      270      27k                          R0805                         
R4         63.2000      50.0000      360      100k                         R0805                         
R3         59.4000      56.5000      90       47k                          R0805                         
R2         59.4000      59.9000      90       100k                         R0805                         
R1         33.0000      92.4000      180      10k                          R0805                         
Q5         63.4000      98.2500      270      PSMN2R6-30YLC,115            PSMN2R6-LFPAK_SOT669          
Q4         63.4000      88.1500      270      PSMN2R6-30YLC,115            PSMN2R6-LFPAK_SOT669          
Q3         63.4000      77.8500      270      PSMN2R6-30YLC,115            PSMN2R6-LFPAK_SOT669          
Q2         63.4000      67.7500      270      PSMN2R6-30YLC,115            PSMN2R6-LFPAK_SOT669          
Q1         69.4250      58.4000      360      IRFR5505TRPBF                PMOS-DPak                     
IC7        53.3000      99.3000      90       NC7SZ57P6X                   NC7SZ57P6X                    
IC6        53.3371      89.1667      90       NC7SZ57P6X                   NC7SZ57P6X                    
IC5        53.3000      78.9250      90       NC7SZ57P6X                   NC7SZ57P6X                    
IC4        53.3000      68.8000      90       NC7SZ57P6X                   NC7SZ57P6X                    
IC3        52.9000      59.9000      90       NC7SZ57P6X                   NC7SZ57P6X                    
IC1        31.3000      99.1000      360      MCP23017-E/SS                IC_MCP23017-E/SS_SSOP28       
D9         68.1000      97.5000      90       US1M-13-F                    US1M-SMA-2_A_V                
D8         68.1000      87.4000      90       US1M-13-F                    US1M-SMA-2_A_V                
D5         68.1000      77.1000      90       US1M-13-F                    US1M-SMA-2_A_V                
D4         68.1000      67.0000      90       US1M-13-F                    US1M-SMA-2_A_V                
D2         64.3000      53.0000      180      US1M-13-F                    US1M-SMA-2_A_V                
D1         62.4000      58.6000      90       US1M-13-F                    US1M-SMA-2_A_V                
C8         55.8000      99.3000      270      100nF                        C0805                         
C7         55.8371      89.1667      270      100nF                        C0805                         
C6         55.8000      78.9250      270      100nF                        C0805                         
C5         55.8000      68.8000      270      100nF                        C0805                         
C4         55.4000      59.9000      270      100nF                        C0805                         
C3         45.2551      111.7579     180      100nF                        C0805                         
C2         25.3555      111.7583     180      100nF                        C0805                         
C1         25.4000      99.0000      90       100nF                        C0805                         
X1         37.5000      63.0000      0        "Arduino Nano"               ARDUINO-NANO-CONNECTORS       
SIGN1      77.4000      108.2130     90       "Sykam-Logo Overlay"         Logo-Sykam_3x10mm             
M4         75.0000      118.0000     0        "Drill 3.2mm / Restring 6mm" MOUNTINGHOLES_M3_ZYLKS_PLATED 
M3         5.0000       118.0000     0        "Drill 3.2mm / Restring 6mm" MOUNTINGHOLES_M3_ZYLKS_PLATED 
M2         75.0000      5.0000       0        "Drill 3.2mm / Restring 6mm" MOUNTINGHOLES_M3_ZYLKS_PLATED 
M1         5.0000       5.0000       0        "Drill 3.2mm / Restring 6mm" MOUNTINGHOLES_M3_ZYLKS_PLATED 
IC2        18.8000      63.1000      0        TCA9548APWR                  IC-TCA9548-TSSOP24            
F4         10.7000      4.2000       0        "d=1.5mm Cu"                 Fiducial_1                    
F3         76.1000      17.7000      0        "d=1.5mm Cu"                 Fiducial_1                    
F2         3.0000       112.0000     0        "d=1.5mm Cu"                 Fiducial_1                    
F1         66.8000      118.6000     0        "d=1.5mm Cu"                 Fiducial_1                    
